pays	année	formulation	value	map_value
Nanterre	2016	Agriculteurs_exploitants---_%_de_femmes	66.67%	0.3333333333
Nanterre	2016	Artisans---_commerçants---_chefs_entreprise---_%_de_femmes	16.49%	0.6701667696
Nanterre	2016	Cadres_et_professions_intellectuelles_supérieures---_%_de_femmes	42.61%	0.1478312774
Nanterre	2016	Professions_intermédiaires---_%_de_femmes	52.3%	0.04596050269
Nanterre	2016	Employé-e-s---_%_de_femmes	67.02%	0.3403590466
Nanterre	2016	Ouvrier-e-s---_%_de_femmes	16.71%	0.665789109
Nanterre	2016	Retraité-e-s---_%_de_femmes	53.61%	0.07214691736
Nanterre	2016	Autres_personnes_sans_activité_professionnelle---_%_de_femmes	55.69%	0.113728
Nanterre	2014	Familles_monoparentales_composés_d_une_femme_avec_enfants	84.26%	0.6852678571
Nanterre	2009	Familles_monoparentales_composés_d_une_femme_avec_enfants	86.04%	0.7208333333
Nanterre	2014	Tous_âges-population_active---_part_des_femmes_	48.6%	0.02797975932
Nanterre	2014	15_à_24_ans-population_active---_part_des_femmes_	47.7%	0.0459485224
Nanterre	2014	25_à_54_ans-population_active---_part_des_femmes_	48.56%	0.02876186742
Nanterre	2014	55_à_64_ans-population_active---_part_des_femmes_	49.6%	0.008057885216
Nanterre	2014	Tous_âges-population_active_ayant_un_emploi---_part_des_femmes_	48.7%	0.02596714361
Nanterre	2014	15_à_24_ans-population_active_ayant_un_emploi---_part_des_femmes_	50.97%	0.01946147694
Nanterre	2014	25_à_54_ans-population_active_ayant_un_emploi---_part_des_femmes_	48.25%	0.03500163559
Nanterre	2014	55_à_64_ans-population_active_ayant_un_emploi---_part_des_femmes_	49.7%	0.006030908406
Nanterre	2014	Part_des_femmes_parmi_les_chômeurs_en_%_	48.1%	0.038
Nanterre	2009	Part_des_femmes_parmi_les_chômeurs_en_%_	46.9%	0.062
Nanterre	2014	Salariés---_part_des_femmes_en_%	47.43%	0.05136838907
Nanterre	2014	Non-salariés---_part_des_femmes_en_%	31.54%	0.3692883895
Nanterre	2009	Salariés---_part_des_femmes_en_%	45.4%	0.09208489388
Nanterre	2009	Non-salariés---_part_des_femmes_en_%	28.56%	0.4287954011
Nanterre	2014	dans_le_secteur_agriculture---_part_des_femmes_en_%	16.1%	0.678
Nanterre	2014	dans_le_secteur_industrie---_part_des_femmes_en_%	36%	0.28
Nanterre	2014	dans_le_secteur_construction---_part_des_femmes_en_%	18.5%	0.63
Nanterre	2014	dans_le_secteur_commerce---_transports---_services_divers---_part_des_femmes_en_%	43.3%	0.134
Nanterre	2014	dans_le_secteur_administration_publique---_enseignement---_santé---_action_sociale---_part_des_femmes_en_%	62.5%	0.25
Nanterre	2014	salarié-e-s---_part_des_femmes_en_%	50.59%	0.01176599654
Nanterre	2014	Titulaires_de_la_fonction_publique_et_contrats_à_durée_indéterminée---_part_des_femmes_en_%	49.65%	0.007035947294
Nanterre	2014	Contrats_à_durée_déterminée---_part_des_femmes_en_%	60.44%	0.2088105727
