Autriche	2013	Attitude envers le risque entrepreneurial	-15.3%	0.15276
Royaume-Uni	2013	Attitude envers le risque entrepreneurial	-17.8%	0.1778
Irlande	2013	Attitude envers le risque entrepreneurial	-16.8%	0.1683
Israël	2013	Attitude envers le risque entrepreneurial	-17.1%	0.17062
Portugal	2013	Attitude envers le risque entrepreneurial	-13.5%	0.1351
Mexique	2013	Attitude envers le risque entrepreneurial	-1.4%	0.0136
Hongrie	2013	Attitude envers le risque entrepreneurial	-10.9%	0.10919
États-Unis	2013	Attitude envers le risque entrepreneurial	-12.9%	0.12894
Indonésie	2013	Attitude envers le risque entrepreneurial	-8.8%	0.0883
Danemark	2013	Attitude envers le risque entrepreneurial	-14.5%	0.14542
Chili	2013	Attitude envers le risque entrepreneurial	-4.3%	0.04343
République slovaque	2013	Attitude envers le risque entrepreneurial	-16.3%	0.16329
Afrique du Sud	2013	Attitude envers le risque entrepreneurial	+0.7%	0.0067
Islande	2013	Attitude envers le risque entrepreneurial	-24.2%	0.24246
Canada	2013	Attitude envers le risque entrepreneurial	-4.4%	0.04416
Luxembourg	2013	Attitude envers le risque entrepreneurial	-13.7%	0.13688
Inde	2013	Attitude envers le risque entrepreneurial	-8.7%	0.08655
Estonie	2013	Attitude envers le risque entrepreneurial	-16.2%	0.162
Japon	2013	Attitude envers le risque entrepreneurial	-14.7%	0.14696
Turquie	2013	Attitude envers le risque entrepreneurial	-8.9%	0.08852
Finlande	2013	Attitude envers le risque entrepreneurial	-18.8%	0.18792
France	2013	Attitude envers le risque entrepreneurial	-14.1%	0.14118
Belgique	2013	Attitude envers le risque entrepreneurial	-14.1%	0.14122
Russie	2013	Attitude envers le risque entrepreneurial	-8.7%	0.08652
Nouvelle-Zélande	2013	Attitude envers le risque entrepreneurial	-12.0%	0.12011
Allemagne	2013	Attitude envers le risque entrepreneurial	-19.2%	0.19221
Italie	2013	Attitude envers le risque entrepreneurial	-14.2%	0.14176
République tchèque	2013	Attitude envers le risque entrepreneurial	-10.2%	0.10235
Espagne	2013	Attitude envers le risque entrepreneurial	-8.0%	0.08041
Corée	2013	Attitude envers le risque entrepreneurial	-21.6%	0.21554
Australie	2013	Attitude envers le risque entrepreneurial	-8.5%	0.08467
Pologne	2013	Attitude envers le risque entrepreneurial	-9.8%	0.09758
Suède	2013	Attitude envers le risque entrepreneurial	-13.9%	0.13919
Pays-Bas	2013	Attitude envers le risque entrepreneurial	-8.2%	0.0816
Chine (République populaire de)	2013	Attitude envers le risque entrepreneurial	-7.6%	0.07614
Grèce	2013	Attitude envers le risque entrepreneurial	-18.3%	0.18274
Brésil	2013	Attitude envers le risque entrepreneurial	-9.9%	0.09887
Slovénie	2013	Attitude envers le risque entrepreneurial	-20.2%	0.20228
