Suède	2009	Préférences pour le travail indépendant	-10.6%	0.10605
République tchèque	2012	Préférences pour le travail indépendant	-15.1%	0.15147
Espagne	2009	Préférences pour le travail indépendant	-10.6%	0.10553
Italie	2012	Préférences pour le travail indépendant	-7.6%	0.07636
Luxembourg	2009	Préférences pour le travail indépendant	-5.7%	0.05715
Islande	2012	Préférences pour le travail indépendant	-15.2%	0.15213
Brésil	2012	Préférences pour le travail indépendant	-6.4%	0.06352
France	2009	Préférences pour le travail indépendant	-8.2%	0.08155
Suède	2012	Préférences pour le travail indépendant	-4.8%	0.04778
Pologne	2009	Préférences pour le travail indépendant	-14.1%	0.14081
Grèce	2009	Préférences pour le travail indépendant	-4.8%	0.048
Israël	2012	Préférences pour le travail indépendant	-8.3%	0.08313
Turquie	2012	Préférences pour le travail indépendant	-8.4%	0.08444
Japon	2009	Préférences pour le travail indépendant	-16.5%	0.16533
Estonie	2009	Préférences pour le travail indépendant	-17.5%	0.17491
Espagne	2012	Préférences pour le travail indépendant	-6.7%	0.06735
République slovaque	2009	Préférences pour le travail indépendant	-9.3%	0.09266
Hongrie	2012	Préférences pour le travail indépendant	-17.6%	0.17586
Allemagne	2009	Préférences pour le travail indépendant	-10.5%	0.1049
États-Unis	2012	Préférences pour le travail indépendant	-14.4%	0.1445
Pologne	2012	Préférences pour le travail indépendant	-11.3%	0.11251
Italie	2009	Préférences pour le travail indépendant	-17.5%	0.17524
Allemagne	2012	Préférences pour le travail indépendant	-5.8%	0.05842
Danemark	2012	Préférences pour le travail indépendant	-12.2%	0.1221
Autriche	2009	Préférences pour le travail indépendant	-4.6%	0.0463
Turquie	2009	Préférences pour le travail indépendant	-20.7%	0.20662
Pays-Bas	2012	Préférences pour le travail indépendant	-12.4%	0.12351
République tchèque	2009	Préférences pour le travail indépendant	-6.9%	0.06895
Irlande	2012	Préférences pour le travail indépendant	-17.7%	0.17659
Irlande	2009	Préférences pour le travail indépendant	-25.9%	0.25858
Suisse	2012	Préférences pour le travail indépendant	-11.8%	0.11811
Slovénie	2009	Préférences pour le travail indépendant	-19.1%	0.19121
Inde	2012	Préférences pour le travail indépendant	-7.0%	0.06964
Autriche	2012	Préférences pour le travail indépendant	-13.7%	0.13661
Portugal	2012	Préférences pour le travail indépendant	-17.0%	0.17026
Chine (République populaire de)	2009	Préférences pour le travail indépendant	-13.1%	0.1312
Hongrie	2009	Préférences pour le travail indépendant	-12.8%	0.12795
Belgique	2012	Préférences pour le travail indépendant	-12.9%	0.12904
Pays-Bas	2009	Préférences pour le travail indépendant	-11.1%	0.11072
Chine (République populaire de)	2012	Préférences pour le travail indépendant	-6.5%	0.06527
Royaume-Uni	2012	Préférences pour le travail indépendant	-12.3%	0.12295
Norvège	2012	Préférences pour le travail indépendant	-8.6%	0.08611
Slovénie	2012	Préférences pour le travail indépendant	-18.7%	0.18735
Royaume-Uni	2009	Préférences pour le travail indépendant	-12.9%	0.12945
Luxembourg	2012	Préférences pour le travail indépendant	-8.5%	0.08467
France	2012	Préférences pour le travail indépendant	-6.6%	0.06633
Danemark	2009	Préférences pour le travail indépendant	-6.8%	0.06801
Corée	2012	Préférences pour le travail indépendant	-16.7%	0.16733
États-Unis	2009	Préférences pour le travail indépendant	-18.6%	0.18626
Portugal	2009	Préférences pour le travail indépendant	-11.2%	0.11195
Belgique	2009	Préférences pour le travail indépendant	-9.5%	0.0952
Suisse	2009	Préférences pour le travail indépendant	+3.9%	0.03872
Norvège	2009	Préférences pour le travail indépendant	-14.1%	0.14051
Finlande	2012	Préférences pour le travail indépendant	-14.3%	0.14269
République slovaque	2012	Préférences pour le travail indépendant	-9.9%	0.09908
Grèce	2012	Préférences pour le travail indépendant	-12.5%	0.12498
Estonie	2012	Préférences pour le travail indépendant	-11.1%	0.11118
Japon	2012	Préférences pour le travail indépendant	-14.8%	0.14755
Russie	2012	Préférences pour le travail indépendant	-8.8%	0.08825
Islande	2009	Préférences pour le travail indépendant	-9.4%	0.09438
Corée	2009	Préférences pour le travail indépendant	-15.5%	0.15539
