44 - Proportion of seats held by women in national parliament

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Women’s share of government ministerial positions,Southern Asia,4,Afghanistan,2008,Female,3.7037037037037,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,4,Afghanistan,2005,Female,10,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,4,Afghanistan,2010,Female,7.4074074074074,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,4,Afghanistan,2012,Female,12,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,4,Afghanistan,2014,Female,10,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,50,Bangladesh,2008,Female,8.3333333333333,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,50,Bangladesh,2005,Female,8.3333333333333,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,50,Bangladesh,2010,Female,16,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,50,Bangladesh,2012,Female,1430,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,50,Bangladesh,2014,Female,6.67,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,64,Bhutan,2008,Female,0,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,64,Bhutan,2005,Female,0,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,64,Bhutan,2010,Female,0,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,64,Bhutan,2012,Female,0,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,64,Bhutan,2014,Female,10,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,144,Sri Lanka,2008,Female,5.6603773584906,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,144,Sri Lanka,2005,Female,10.25641025641,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,144,Sri Lanka,2010,Female,5.8823529411765,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,144,Sri Lanka,2012,Female,0,-,-,1,1,-,-,-,-,-,-,-
Women’s share of government ministerial positions,Southern Asia,144,Sri Lanka,2014,Female,7.14,-,-,1,1,-,-,-,-,-,-,-
